time,wind_speed_kts,wind_bft,gusts_speed_kts,gusts_bft,direction,temperature,wind_speed_kts_text,gusts_speed_kts_text
09/07/2024 14:35,19,bft5,23,bft6,"ENE


29.3 °C",29.3,19 kts,23 kts
09/07/2024 14:30,20,bft5,26,bft6,"ENE


29.3 °C",29.3,20 kts,26 kts
09/07/2024 14:25,18,bft5,21,bft5,"ENE


29.3 °C",29.3,18 kts,21 kts
09/07/2024 14:20,17,bft5,22,bft6,"ENE


29.2 °C",29.2,17 kts,22 kts
09/07/2024 14:15,18,bft5,21,bft5,"ENE


28.9 °C",28.9,18 kts,21 kts
09/07/2024 14:10,18,bft5,22,bft5,"ENE


28.7 °C",28.7,18 kts,22 kts
09/07/2024 14:05,18,bft5,24,bft6,"ENE


28.3 °C",28.3,18 kts,24 kts
09/07/2024 14:00,19,bft5,23,bft6,"ENE


28.1 °C",28.1,19 kts,23 kts
09/07/2024 13:55,20,bft5,25,bft6,"ENE


28.1 °C",28.1,20 kts,25 kts
09/07/2024 13:50,20,bft5,25,bft6,"ENE


28.0 °C",28,20 kts,25 kts
09/07/2024 13:45,19,bft5,22,bft5,"ENE


28.2 °C",28.2,19 kts,22 kts
09/07/2024 13:40,19,bft5,22,bft6,"ENE


28.1 °C",28.1,19 kts,22 kts
09/07/2024 13:35,18,bft5,22,bft6,"ENE


28.1 °C",28.1,18 kts,22 kts
09/07/2024 13:30,20,bft5,23,bft6,"ENE


28.1 °C",28.1,20 kts,23 kts
09/07/2024 13:25,19,bft5,23,bft6,"ENE


28.2 °C",28.2,19 kts,23 kts
09/07/2024 13:20,17,bft5,21,bft5,"ENE


28.1 °C",28.1,17 kts,21 kts
09/07/2024 13:15,18,bft5,21,bft5,"ENE


28.1 °C",28.1,18 kts,21 kts
09/07/2024 13:10,16,bft4,18,bft5,"ENE


28.0 °C",28,16 kts,18 kts
09/07/2024 13:05,16,bft5,21,bft5,"ENE


27.9 °C",27.9,16 kts,21 kts
09/07/2024 13:00,14,bft4,17,bft5,"ENE


27.7 °C",27.7,14 kts,17 kts
09/07/2024 12:55,14,bft4,17,bft5,"ENE


27.5 °C",27.5,14 kts,17 kts
09/07/2024 12:50,14,bft4,16,bft5,"ENE


27.4 °C",27.4,14 kts,16 kts
09/07/2024 12:45,16,bft4,18,bft5,"ENE


27.2 °C",27.2,16 kts,18 kts
09/07/2024 12:40,14,bft4,18,bft5,"ENE


27.2 °C",27.2,14 kts,18 kts
09/07/2024 12:35,14,bft4,16,bft5,"ENE


27.1 °C",27.1,14 kts,16 kts
09/07/2024 12:30,13,bft4,18,bft5,"ENE


26.9 °C",26.9,13 kts,18 kts
09/07/2024 12:25,14,bft4,18,bft5,"ENE


26.7 °C",26.7,14 kts,18 kts
09/07/2024 12:20,15,bft4,19,bft5,"ENE


26.6 °C",26.6,15 kts,19 kts
09/07/2024 12:15,16,bft4,20,bft5,"ENE


26.4 °C",26.4,16 kts,20 kts
09/07/2024 12:10,17,bft5,19,bft5,"ENE


26.3 °C",26.3,17 kts,19 kts
09/07/2024 12:05,15,bft4,16,bft4,"ENE


26.3 °C",26.3,15 kts,16 kts
09/07/2024 12:00,0,bft0,0,bft0,2.2 °C,2.2,0 kts,0 kts
09/07/2024 11:55,0,bft0,0,bft0,2.2 °C,2.2,0 kts,0 kts
09/07/2024 11:50,14,bft4,18,bft5,"ENE


2.2 °C",2.2,14 kts,18 kts
09/07/2024 11:45,14,bft4,17,bft5,"ENE


25.9 °C",25.9,14 kts,17 kts
09/07/2024 11:40,16,bft4,18,bft5,"ENE


25.8 °C",25.8,16 kts,18 kts
09/07/2024 11:35,14,bft4,19,bft5,"ENE


25.7 °C",25.7,14 kts,19 kts
09/07/2024 11:30,15,bft4,17,bft5,"ENE


25.5 °C",25.5,15 kts,17 kts
09/07/2024 11:25,14,bft4,17,bft5,"ENE


25.3 °C",25.3,14 kts,17 kts
09/07/2024 11:20,16,bft4,21,bft5,"ENE


25.2 °C",25.2,16 kts,21 kts
09/07/2024 11:15,17,bft5,20,bft5,"ENE


25.1 °C",25.1,17 kts,20 kts
09/07/2024 11:10,15,bft4,19,bft5,"ENE


24.9 °C",24.9,15 kts,19 kts
09/07/2024 11:05,15,bft4,19,bft5,"ENE


24.8 °C",24.8,15 kts,19 kts
09/07/2024 11:00,15,bft4,19,bft5,"ENE


24.8 °C",24.8,15 kts,19 kts
09/07/2024 10:55,16,bft5,20,bft5,"ENE


24.7 °C",24.7,16 kts,20 kts
09/07/2024 10:50,15,bft4,23,bft6,"ENE


24.7 °C",24.7,15 kts,23 kts
09/07/2024 10:45,15,bft4,19,bft5,"ENE


24.5 °C",24.5,15 kts,19 kts
09/07/2024 10:40,16,bft4,20,bft5,"ENE


24.4 °C",24.4,16 kts,20 kts
09/07/2024 10:35,14,bft4,18,bft5,"ENE


24.3 °C",24.3,14 kts,18 kts
09/07/2024 10:25,15,bft4,20,bft5,"ENE


24.1 °C",24.1,15 kts,20 kts
09/07/2024 10:20,14,bft4,18,bft5,"ENE


24.0 °C",24,14 kts,18 kts
